service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20240225,20240615
12,0,0,0,0,0,1,0,20240225,20240615
13,0,0,0,0,0,0,1,20240225,20240615
16,1,1,1,1,1,0,0,20240225,20240615
18,0,0,0,0,0,1,0,20240225,20240615
19,0,0,0,0,0,0,1,20240225,20240615
22,1,1,1,1,1,0,0,20240225,20240615
24,0,0,0,0,0,1,0,20240225,20240615
25,0,0,0,0,0,0,1,20240225,20240615
28,1,1,1,1,1,0,0,20240225,20240615
30,0,0,0,0,0,1,0,20240225,20240615
31,0,0,0,0,0,0,1,20240225,20240615
40,1,1,1,1,1,0,0,20240225,20240615
42,0,0,0,0,0,1,0,20240225,20240615
43,0,0,0,0,0,0,1,20240225,20240615
46,1,1,1,1,1,0,0,20240225,20240615
48,0,0,0,0,0,1,0,20240225,20240615
49,0,0,0,0,0,0,1,20240225,20240615
52,1,1,1,1,1,0,0,20240225,20240615
54,0,0,0,0,0,1,0,20240225,20240615
55,0,0,0,0,0,0,1,20240225,20240615
