service_id,date,exception_type
33610,20240226,1
34010,20240226,1
65110,20240226,1
336110,20240226,1
341510,20240226,1
33610,20240227,1
34010,20240227,1
65110,20240227,1
336010,20240227,1
341610,20240227,1
33710,20240228,1
34010,20240228,1
65010,20240228,1
336010,20240228,1
341510,20240228,1
33610,20240229,1
34010,20240229,1
65110,20240229,1
336010,20240229,1
341510,20240229,1
33610,20240301,1
34110,20240301,1
65010,20240301,1
336010,20240301,1
341510,20240301,1
33610,20240304,1
34010,20240304,1
65110,20240304,1
336110,20240304,1
341510,20240304,1
33610,20240305,1
34010,20240305,1
65110,20240305,1
336010,20240305,1
341610,20240305,1
33710,20240306,1
34010,20240306,1
65010,20240306,1
336010,20240306,1
341510,20240306,1
33610,20240307,1
34010,20240307,1
65110,20240307,1
336010,20240307,1
341510,20240307,1
33610,20240308,1
34110,20240308,1
65010,20240308,1
336010,20240308,1
341510,20240308,1
33610,20240311,1
34010,20240311,1
65110,20240311,1
336110,20240311,1
341510,20240311,1
33610,20240312,1
34010,20240312,1
65110,20240312,1
336010,20240312,1
341610,20240312,1
33710,20240313,1
34010,20240313,1
65010,20240313,1
336010,20240313,1
341510,20240313,1
33610,20240314,1
34010,20240314,1
65110,20240314,1
336010,20240314,1
341510,20240314,1
33610,20240315,1
34110,20240315,1
65010,20240315,1
336010,20240315,1
341510,20240315,1
33610,20240318,1
34010,20240318,1
65110,20240318,1
336110,20240318,1
341510,20240318,1
33610,20240319,1
34010,20240319,1
65110,20240319,1
336010,20240319,1
341610,20240319,1
33710,20240320,1
34010,20240320,1
65010,20240320,1
336010,20240320,1
341510,20240320,1
33610,20240321,1
34010,20240321,1
65110,20240321,1
336010,20240321,1
341510,20240321,1
33610,20240322,1
34110,20240322,1
65010,20240322,1
336010,20240322,1
341510,20240322,1
33610,20240325,1
34010,20240325,1
65110,20240325,1
336110,20240325,1
341510,20240325,1
33610,20240326,1
34010,20240326,1
65110,20240326,1
336010,20240326,1
341610,20240326,1
33710,20240327,1
34010,20240327,1
65010,20240327,1
336010,20240327,1
341510,20240327,1
33610,20240328,1
34010,20240328,1
65110,20240328,1
336010,20240328,1
341510,20240328,1
33610,20240329,1
34110,20240329,1
65010,20240329,1
336010,20240329,1
341510,20240329,1
33610,20240401,1
34010,20240401,1
65110,20240401,1
336110,20240401,1
341510,20240401,1
33610,20240402,1
34010,20240402,1
65110,20240402,1
