route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,1,Parx Casino to 54th-City,,3,,FFFFFF,000000
10,1,10,Route 10,,0,,5A960A,000000
101,1,101,Route 101,,0,,DC2E6B,000000
102,1,102,Route 102,,0,,DC2E6B,000000
103,1,103,Ardmore to 69th St TC,,3,,FFFFFF,000000
104,1,104,West Chester U to 69th St TC,,3,,FFFFFF,000000
105,1,105,Rosemont to 69th St TC,,3,,FFFFFF,000000
106,1,106,Paoli to 69th St TC,,3,,FFFFFF,000000
107,1,107,Lawrence Park to 69th St TC,,3,,FFFFFF,000000
108,1,108,UPS or Airport to 69th St TC,,3,,000000,FFFFFF
109,1,109,Chester TC to 69th St TC,,3,,FFFFFF,000000
11,1,11,Route 11,,0,,5A960A,000000
110,1,110,Penn State U to 69th St TC,,3,,FFFFFF,000000
111,1,111,Chadds Ford to 69th St TC,,3,,FFFFFF,000000
112,1,112,DCCC to 69th St TC,,3,,FFFFFF,000000
113,1,113,CLAYMONT TC to 69th St TC,,3,,000000,FFFFFF
114,1,114,Wawa Railroad Station to Darby TC,,3,,FFFFFF,000000
115,1,115,DCCC & Darby TC to Airport,,3,,FFFFFF,000000
117,1,117,Penn State U to I-95 Industrial Pk,,3,,FFFFFF,000000
118,1,118,Newtown Square to Chester TC,,3,,FFFFFF,000000
119,1,119,Cheyney U to Chester TC,,3,,FFFFFF,000000
12,1,12,Columbus-Dock to 50th-Woodland,,3,,FFFFFF,000000
120,1,120,Cheyney U to 69th St TC,,3,,FFFFFF,000000
123,1,123,King of Prussia to 69th St TC,,3,,FFFFFF,000000
124,1,124,Chesterbrook to 13th & Market,,3,,FFFFFF,000000
125,1,125,Valley Forge to 13th-Market,,3,,FFFFFF,000000
126,1,126,Lawrence Park via Manoa to 69th,,3,,FFFFFF,000000
127,1,127,Trenton TC to Oxford Valley Mall,,3,,FFFFFF,000000
128,1,128,Neshaminy to Oxford Valley Mall,,3,,FFFFFF,000000
129,1,129,Frankford-Knights to Oxford Valley,,3,,FFFFFF,000000
13,1,13,Route 13,,0,,5A960A,000000
130,1,130,BCCC to Frankford & Knights,,3,,FFFFFF,000000
131,1,131,Audubon to Norristown TC,,3,,FFFFFF,000000
132,1,132,Telford to Montgomery Mall,,3,,FFFFFF,000000
133,1,133,Frankford & Knights to Bensalem,,3,,FFFFFF,000000
135,1,135,West Chester to Coatesville,,3,,FFFFFF,000000
139,1,139,Limerick to King of Prussia,,3,,FFFFFF,000000
14,1,14,FTC to Nesh/Oxford Valley Malls,,3,,FFFFFF,000000
15,1,15,Route 15,,0,,FFD700,000000
150,1,150,Parx Casino to Plymouth Meeting,,3,,FFFFFF,000000
16,1,16,City Hall to Cheltenham-Ogontz,,3,,FFFFFF,000000
17,1,17,Front-Mkt to 20-Johnston/Broad-Pat,,3,,000000,FFFFFF
18,1,18,Fox Chase to Cedarbrook Plaza,,3,,000000,FFFFFF
19,1,19,Torresdale Station to FTC,,3,,FFFFFF,000000
2,1,2,20-Johnston to Pulaski-Hntg Park,,3,,FFFFFF,000000
20,1,20,Philadelphia Mills to FTC,,3,,FFFFFF,000000
201,1,201,Ft Wash Office Ctr to Fort Wash Sta,,3,,FFFFFF,000000
204,1,204,Eagleview to Paoli Train Station,,3,,FFFFFF,000000
206,1,206,Commons at Great Vly to Paoli Sta,,3,,FFFFFF,000000
21,1,21,Columbus-Dock to 69th St TC,,3,,000000,FFFFFF
22,1,22,Warminster & Willow Grove to OTC,,3,,FFFFFF,000000
23,1,23,11th Market to Chestnut Hill,,3,,000000,FFFFFF
24,1,24,Southampton & Rockledge to FTC,,3,,FFFFFF,000000
25,1,25,FTC to Columbus Commons,,3,,FFFFFF,000000
26,1,26,FTC to Chelten Av Station,,3,,FFFFFF,000000
27,1,27,Broad-Carpenter to PlymouthMtgMall,,3,,FFFFFF,000000
28,1,28,Fern Rock TC to Torresdale-Cottman,,3,,FFFFFF,000000
