stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2,RIDLINNW,Ridge Av & Wissahickon Transfer Center,RIDGE AVE,40.014986,-75.206826,1,,0,31032,,1
4,ROOBRONE,Roosevelt Blvd & Broad St - FS,W ROOSEVELT BLVD & N BROAD ST,40.018128,-75.148887,1,,,,,1
5,ROO5THNE,Roosevelt Blvd & 5th St,W ROOSEVELT BLVD & N 5TH ST,40.023465,-75.133487,1,,,,,1
7,ROOPRANE,Roosevelt Blvd & Pratt St,ROOSEVELT BLVD & PRATT ST,40.028754,-75.089524,1,,,,,1
8,ROOCOTNE,Roosevelt Blvd & Cottman Av - FS,ROOSEVELT BLVD & COTTMAN AVE,40.04461,-75.053657,1,,0,,,1
9,ROOHOLNE,Roosevelt Blvd & Holme Av,ROOSEVELT BLVD,40.058496,-75.044312,1,,,,,1
10,ROOWOOSW,Roosevelt Blvd & Woodward St,ROOSEVELT BLVD & WOODWARD ST,40.071393,-75.038281,1,,,,,1
11,COMROOSE,Comly Rd & Roosevelt Blvd - MBFS,COMLY RD & NESTOR RD,40.104027,-75.000884,1,,,,,1
12,DECDRMNE,Decatur Rd & Drummond Rd - MBNS,DECATUR RD & THORNTON RD,40.08669,-74.999663,1,,,,,1
14,TOWMC2SW,Townsend Rd & McNulty Rd - MBNS 2,TOWNSEND RD,40.107897,-74.976955,1,,,,,1
16,CARCO2SW,Caroline Rd & Comly Rd - MBFS,CAROLINE RD & ACADEMY RD,40.098926,-75.002204,1,,,,,1
17,COMCARSE,Comly Rd & Caroline Rd,COMLY RD & NESTOR RD,40.10168,-74.99833,1,,,,,1
18,ROOBYBSW,Roosevelt Blvd & Byberry Rd - FS,ROOSEVELT BLVD,40.106558,-74.999579,1,,,,,1
19,ROOCOMSW,Roosevelt Blvd & Comly Rd,ROOSEVELT BLVD,40.105172,-75.001575,1,,0,,,1
21,ROOSOLSW,Roosevelt Blvd & Solly Av - FS,ROOSEVELT BLVD & PENNYPACK CIR,40.058873,-75.045067,1,,,,,1
22,ROOCOTSW,Roosevelt Blvd & Cottman Av,ROOSEVELT BLVD & COTTMAN AVE,40.044862,-75.05453,1,,0,,,1
23,ROOPRASW,Roosevelt Blvd & Pratt St - FS,ROOSEVELT BLVD & PRATT ST,40.029006,-75.090599,1,,,,,1
24,ROOTOWNW,Roosevelt Blvd & Tower Blvd - FS,US 13 & US 30 RAMP,40.029484,-75.101085,1,,,,,1
25,ROO5THSW,Roosevelt Blvd & 5th St,W ROOSEVELT BLVD & N LAWRENCE ST,40.024267,-75.133011,1,,,,,1
28,WISTRANO,Wissahickon Transportation Center - onsite,SEPTA SEPTA & RIDGE AVE,40.014897,-75.20724,1,,0,,,1
30,PULPIKSE,Pulaski Av & Pike St,PULASKI AVE & W HUNTING PARK AVE,40.013264,-75.157404,1,,0,,,1
31,17THUNSO,17th St & Huntingdon St,N 17TH ST & W HUNTINGDON ST,39.993099,-75.159784,1,,0,,,1
32,17TGIRSO,17th St & Girard Av,N 17TH ST & W FLORA ST,39.972153,-75.164352,1,,0,,,1
33,17TSPRSO,17th St & Spring Garden St,N 17TH ST & BRANDYWINE ST,39.963223,-75.166334,1,,0,,,1
34,17TMARSO,17th St & Market St,N 17TH ST & MARKET ST,39.953124,-75.168473,1,,0,,,1
35,17TPINSO,17th St & Pine St,S 17TH ST & PINE ST,39.946264,-75.169997,1,,,,,1
36,17TWASSO,17th St & Washington Av,S 17TH ST & WASHINGTON AVE,39.938592,-75.171655,1,,0,,,1
37,17TSNYSO,17th St & Snyder Av,S 17TH ST & SNYDER AVE,39.925122,-75.174548,1,,,,,1
38,19TMOYSE,19th St & Moyamensing Av,S 19TH ST & W MOYAMENSING AVE,39.91428,-75.179732,1,,,,,1
39,20TJOHSO,20th St & Johnston St,S 20TH ST & JOHNSTON ST,39.916809,-75.181282,1,,0,,,1
40,20TJOHNO,20th St & Johnston St,S 20TH ST,39.916621,-75.181094,1,,0,,,1
41,16TSNYNO,16th St & Snyder Av,S 16TH ST & CANTRELL ST,39.924771,-75.17292,1,,0,,,1
42,16TWASNO,16th St & Washington Av,S 16TH ST & ALTER ST,39.938196,-75.169968,1,,0,,,1
43,16TPINNO,16th St & Pine St,S 16TH ST & PINE ST,39.945904,-75.168287,1,,0,,,1
45,16TGIRNO,16th St & Girard Av,N 16TH ST & W GIRARD AV,39.971737,-75.162628,1,,0,,,1
46,HUN16TWE,Huntingdon St & 16th St - FS,W HUNTINGDON ST & N 16TH ST,39.992882,-75.158379,1,,0,,,1
47,17TLEHNO,17th St & Lehigh Av,N 17TH ST & W LEHIGH AV,39.994391,-75.159341,1,,,,,1
48,HUNPULNE,Hunting Park Av & Pulaski Av,W HUNTING PARK AVE & PULASKI AVE,40.013935,-75.157992,1,,0,,,1
51,KENALLSW,Kensington Av & Allegheny Av,KENSINGTON AVE & E HILTON ST,39.996774,-75.113084,1,,0,,,1
52,FRODAUSO,Front St & Dauphin St,N FRONT ST & JASPER ST,39.984888,-75.132205,1,,,,,1
53,CECBROWE,Cecil B Moore Av & Broad St,CECIL B MOORE AVE & N BROAD ST,39.978707,-75.157724,1,,0,,,1
54,CEC20TWE,Cecil B Moore Av & 20th St,CECIL B MOORE AVE & N UBER ST,39.979941,-75.167253,1,,,,,1
55,33RCECEA,33rd St & Cecil B Moore Av Loop,,39.982394,-75.188946,1,,0,,,1
57,CEC20TEA,Cecil B Moore Av & 20th St,CECIL B MOORE AVE & N 20TH ST,39.979853,-75.167513,1,,,,,1
58,CECBROEA,Cecil B Moore Av & Broad St,CECIL B MOORE AVE & N BROAD ST,39.978618,-75.157972,1,,0,,,1
60,ALLEGHEA,Allegheny Station - MFL,KENSINGTON AVE & E WISHART ST,39.996471,-75.11344,50,,0,,,1
61,FRANKFEA,Frankford Transportation Center - MFL,SEPTA SEPTA & FRANKFORD AVE,40.022929,-75.077861,50,,0,,,1
64,FRATORSW,Frankford Av & Torresdale Av,FRANKFORD AV & TORRESDALE AV,40.006135,-75.09183,1,,0,,,1
65,FRALEHSW,Frankford Av & Lehigh Av,FRANKFORD AVE & E LEHIGH AVE,39.987122,-75.122366,1,,0,,,1
67,2NDGRESO,2nd St & Green St,N 2ND ST & FAIRMOUNT AVE,39.961017,-75.141445,1,,,,,1
69,FROLOOEA,Front St & Market St Loop,SEPTA SEPTA & CONSTITUTION AVE,39.949765,-75.142317,1,,0,,,1
70,3RDSPRNO,3rd St & Spring Garden St,N 3RD ST & SPRING GARDEN ST,39.960629,-75.14336,1,,,,,1
72,FRALEHNE,Frankford Av & Lehigh Av,FRANKFORD AVE & CORAL ST,39.986944,-75.12239,1,,0,,,1
73,FRATORNE,Frankford Av & Torresdale Av,FRANKFORD AVE & VICI ST,40.005707,-75.092103,1,,0,,,1
77,OGO69TSE,Ogontz Av & 69th Av,OGONTZ AVE & 69TH AVE,40.059883,-75.150213,1,,0,,,1
78,OGOHAISE,Ogontz Av & Haines St,OGONTZ AVE & 69TH AVE,40.058542,-75.149331,1,,,,,1
79,OGO66TSO,Ogontz Av & 66th Av,OGONTZ AVE & 66TH AVE,40.054794,-75.149784,1,,,,,1
80,OGOSTESO,Ogontz Av & Stenton Av,OGONTZ AVE & STENTON AVE,40.051743,-75.150221,1,,0,,,1
82,OLNEYSO,Olney Transportation Center - BSL,W OLNEY AVE & N BROAD ST,40.039066,-75.144749,50,,0,32095,,1
84,OGOCHENO,Ogontz Av & Chelten Av - FS,OGONTZ AVE & STENTON AVE,40.051743,-75.150068,1,,0,,,1
85,OGO66TNO,Ogontz Av & 66th Av,OGONTZ AVE & 66TH AVE,40.054562,-75.149655,1,,0,,,1
86,OGOHAINO,Ogontz Av & Haines St,OGONTZ AVE & 68TH AVE,40.058354,-75.149155,1,,,,,1
89,CHEOGONW,Cheltenham Av & Ogontz Av - FS,W CHELTENHAM AVE & LIMEKILN PIKE,40.07471,-75.15924,1,,0,,,1
92,29TGIRSO,29th St & Girard Av,N 29TH ST & W FLORA ST,39.974628,-75.183527,1,,0,,,1
93,23RMARSO,23rd St & Market St - FS,S 23RD ST & N 23RD ST,39.95392,-75.177941,1,,0,,,1
94,23RWASSO,23rd St & Washington Av,S 23RD ST & WASHINGTON AVE,39.93979,-75.181533,1,,0,,,1
95,ORE21SEA,Oregon Av & 21st St - FS,W OREGON AVE & S 21ST ST,39.918159,-75.182611,1,,0,,,1
96,ORE20TEA,Oregon Av & 20th St - FS,W OREGON AVE & S 20TH ST,39.917887,-75.180605,1,,0,,,1
98,OREBROEA,Oregon Av & Broad St - FS,W OREGON AVE & S WATTS ST,39.91669,-75.171002,1,,0,,,1
99,WHITM1SO,Whitman Plaza - 1,WHITMAN PLAZA SEPTA,39.912812,-75.156475,1,,0,,,1
101,PIER70NO,Pier 70 WalMart & Home Depot,,39.92531,-75.141671,1,,0,,,1
103,OREBROWE,Oregon Av & Broad St,W OREGON AVE & S BROAD ST,39.916922,-75.171166,1,,0,,,1
105,ORE24TWE,Oregon Av & 24th St,S 24TH ST & W OREGON AV,39.919705,-75.188106,1,,,,,1
