geoname,geoid,total
"Block Group 1, Census Tract 9116, Butler County, Pennsylvania",1500000US420199116001,1193
"Block Group 4, Census Tract 9116, Butler County, Pennsylvania",1500000US420199116004,1292
"Block Group 3, Census Tract 9117, Butler County, Pennsylvania",1500000US420199117003,1737
"Block Group 3, Census Tract 9118, Butler County, Pennsylvania",1500000US420199118003,1118
"Block Group 1, Census Tract 9119, Butler County, Pennsylvania",1500000US420199119001,1147
"Block Group 4, Census Tract 9119, Butler County, Pennsylvania",1500000US420199119004,1210
"Block Group 3, Census Tract 9120.01, Butler County, Pennsylvania",1500000US420199120013,3147
"Block Group 2, Census Tract 9123.04, Butler County, Pennsylvania",1500000US420199123042,1630
"Block Group 1, Census Tract 9124.04, Butler County, Pennsylvania",1500000US420199124041,879
"Block Group 1, Census Tract 9124.05, Butler County, Pennsylvania",1500000US420199124051,2307
"Block Group 1, Census Tract 9124.06, Butler County, Pennsylvania",1500000US420199124061,537
"Block Group 2, Census Tract 9127.01, Butler County, Pennsylvania",1500000US420199127012,961
"Block Group 2, Census Tract 9127.02, Butler County, Pennsylvania",1500000US420199127022,1750
"Block Group 2, Census Tract 9128, Butler County, Pennsylvania",1500000US420199128002,1570
"Block Group 1, Census Tract 9801, Butler County, Pennsylvania",1500000US420199801001,2397
"Block Group 1, Census Tract 2, Cambria County, Pennsylvania",1500000US420210002001,604
"Block Group 1, Census Tract 5, Cambria County, Pennsylvania",1500000US420210005001,665
"Block Group 2, Census Tract 6, Cambria County, Pennsylvania",1500000US420210006002,954
"Block Group 1, Census Tract 12, Cambria County, Pennsylvania",1500000US420210012001,1010
"Block Group 1, Census Tract 101, Cambria County, Pennsylvania",1500000US420210101001,1067
"Block Group 1, Census Tract 102, Cambria County, Pennsylvania",1500000US420210102001,628
"Block Group 2, Census Tract 103, Cambria County, Pennsylvania",1500000US420210103002,1356
"Block Group 2, Census Tract 111, Cambria County, Pennsylvania",1500000US420210111002,1075
"Block Group 2, Census Tract 112, Cambria County, Pennsylvania",1500000US420210112002,745
"Block Group 2, Census Tract 113, Cambria County, Pennsylvania",1500000US420210113002,1142
"Block Group 1, Census Tract 114, Cambria County, Pennsylvania",1500000US420210114001,537
"Block Group 4, Census Tract 114, Cambria County, Pennsylvania",1500000US420210114004,891
"Block Group 3, Census Tract 115, Cambria County, Pennsylvania",1500000US420210115003,1693
"Block Group 3, Census Tract 116, Cambria County, Pennsylvania",1500000US420210116003,1352
"Block Group 1, Census Tract 118, Cambria County, Pennsylvania",1500000US420210118001,988
"Block Group 4, Census Tract 118, Cambria County, Pennsylvania",1500000US420210118004,1020
"Block Group 3, Census Tract 119, Cambria County, Pennsylvania",1500000US420210119003,624
"Block Group 2, Census Tract 120, Cambria County, Pennsylvania",1500000US420210120002,1480
"Block Group 5, Census Tract 120, Cambria County, Pennsylvania",1500000US420210120005,875
"Block Group 1, Census Tract 122, Cambria County, Pennsylvania",1500000US420210122001,541
"Block Group 1, Census Tract 123, Cambria County, Pennsylvania",1500000US420210123001,2195
"Block Group 2, Census Tract 124, Cambria County, Pennsylvania",1500000US420210124002,1051
"Block Group 3, Census Tract 128, Cambria County, Pennsylvania",1500000US420210128003,869
"Block Group 1, Census Tract 129, Cambria County, Pennsylvania",1500000US420210129001,800
"Block Group 1, Census Tract 130, Cambria County, Pennsylvania",1500000US420210130001,666
"Block Group 2, Census Tract 1105, Lackawanna County, Pennsylvania",1500000US420691105002,1786
"Block Group 2, Census Tract 1106, Lackawanna County, Pennsylvania",1500000US420691106002,837
"Block Group 2, Census Tract 1107, Lackawanna County, Pennsylvania",1500000US420691107002,1162
"Block Group 3, Census Tract 1108, Lackawanna County, Pennsylvania",1500000US420691108003,1537
"Block Group 3, Census Tract 1109, Lackawanna County, Pennsylvania",1500000US420691109003,1013
"Block Group 1, Census Tract 1111, Lackawanna County, Pennsylvania",1500000US420691111001,646
"Block Group 4, Census Tract 1111, Lackawanna County, Pennsylvania",1500000US420691111004,834
