geoid,geoname,total
421010362031 ,"Block 1007, Block Group 1, Census Tract 362.03, Philadelphia County, Pennsylvania",71
421010065001 ,"Block 1011, Block Group 1, Census Tract 65, Philadelphia County, Pennsylvania",56
421010065003 ,"Block 3006, Block Group 3, Census Tract 65, Philadelphia County, Pennsylvania",29
421010366002 ,"Block 2005, Block Group 2, Census Tract 366, Philadelphia County, Pennsylvania",351
421010255002 ,"Block 2013, Block Group 2, Census Tract 255, Philadelphia County, Pennsylvania",50
421010257001 ,"Block 1002, Block Group 1, Census Tract 257, Philadelphia County, Pennsylvania",67
421010259002 ,"Block 2002, Block Group 2, Census Tract 259, Philadelphia County, Pennsylvania",118
421010313001 ,"Block 1010, Block Group 1, Census Tract 313, Philadelphia County, Pennsylvania",188
421010070001 ,"Block 1003, Block Group 1, Census Tract 70, Philadelphia County, Pennsylvania",123
421010067001 ,"Block 1008, Block Group 1, Census Tract 67, Philadelphia County, Pennsylvania",129
421010178002 ,"Block 2005, Block Group 2, Census Tract 178, Philadelphia County, Pennsylvania",61
421010260002 ,"Block 2001, Block Group 2, Census Tract 260, Philadelphia County, Pennsylvania",111
421010261003 ,"Block 3000, Block Group 3, Census Tract 261, Philadelphia County, Pennsylvania",95
421010360002 ,"Block 2011, Block Group 2, Census Tract 360, Philadelphia County, Pennsylvania",185
421010016001 ,"Block 1015, Block Group 1, Census Tract 16, Philadelphia County, Pennsylvania",108
421010072002 ,"Block 2000, Block Group 2, Census Tract 72, Philadelphia County, Pennsylvania",247
421010073003 ,"Block 3005, Block Group 3, Census Tract 73, Philadelphia County, Pennsylvania",95
421010013024 ,"Block 4013, Block Group 4, Census Tract 13.02, Philadelphia County, Pennsylvania",466
421010014003 ,"Block 3020, Block Group 3, Census Tract 14, Philadelphia County, Pennsylvania",111
421010139001 ,"Block 1003, Block Group 1, Census Tract 139, Philadelphia County, Pennsylvania",0
421010139003 ,"Block 3008, Block Group 3, Census Tract 139, Philadelphia County, Pennsylvania",73
421010179004 ,"Block 4008, Block Group 4, Census Tract 179, Philadelphia County, Pennsylvania",76
421010264003 ,"Block 3017, Block Group 3, Census Tract 264, Philadelphia County, Pennsylvania",78
421010366004 ,"Block 4013, Block Group 4, Census Tract 366, Philadelphia County, Pennsylvania",22
421010367002 ,"Block 2008, Block Group 2, Census Tract 367, Philadelphia County, Pennsylvania",109
421010372004 ,"Block 4003, Block Group 4, Census Tract 372, Philadelphia County, Pennsylvania",130
421010373003 ,"Block 3006, Block Group 3, Census Tract 373, Philadelphia County, Pennsylvania",0
421010266001 ,"Block 1001, Block Group 1, Census Tract 266, Philadelphia County, Pennsylvania",69
421010019003 ,"Block 3013, Block Group 3, Census Tract 19, Philadelphia County, Pennsylvania",39
421010078002 ,"Block 2005, Block Group 2, Census Tract 78, Philadelphia County, Pennsylvania",0
421010079004 ,"Block 4003, Block Group 4, Census Tract 79, Philadelphia County, Pennsylvania",117
421010018001 ,"Block 1018, Block Group 1, Census Tract 18, Philadelphia County, Pennsylvania",55
421010074002 ,"Block 2012, Block Group 2, Census Tract 74, Philadelphia County, Pennsylvania",4
421010077001 ,"Block 1006, Block Group 1, Census Tract 77, Philadelphia County, Pennsylvania",0
421010140002 ,"Block 2007, Block Group 2, Census Tract 140, Philadelphia County, Pennsylvania",16
421010141001 ,"Block 1023, Block Group 1, Census Tract 141, Philadelphia County, Pennsylvania",1
421010183003 ,"Block 3011, Block Group 3, Census Tract 183, Philadelphia County, Pennsylvania",30
421010184002 ,"Block 2000, Block Group 2, Census Tract 184, Philadelphia County, Pennsylvania",0
421010266003 ,"Block 3014, Block Group 3, Census Tract 266, Philadelphia County, Pennsylvania",111
421010267003 ,"Block 3002, Block Group 3, Census Tract 267, Philadelphia County, Pennsylvania",132
421010268003 ,"Block 3005, Block Group 3, Census Tract 268, Philadelphia County, Pennsylvania",122
421010024003 ,"Block 3015, Block Group 3, Census Tract 24, Philadelphia County, Pennsylvania",15
421010082003 ,"Block 3005, Block Group 3, Census Tract 82, Philadelphia County, Pennsylvania",160
421010021002 ,"Block 2011, Block Group 2, Census Tract 21, Philadelphia County, Pennsylvania",64
421010023002 ,"Block 2003, Block Group 2, Census Tract 23, Philadelphia County, Pennsylvania",109
421010143001 ,"Block 1023, Block Group 1, Census Tract 143, Philadelphia County, Pennsylvania",104
421010144001 ,"Block 1006, Block Group 1, Census Tract 144, Philadelphia County, Pennsylvania",38
