geoid,geoname,total
42411001,"Census Tract 4110.01, Allegheny County, Pennsylvania",4004
42411002,"Census Tract 4110.02, Allegheny County, Pennsylvania",6076
42412002,"Census Tract 4120.02, Allegheny County, Pennsylvania",4865
42412003,"Census Tract 4120.03, Allegheny County, Pennsylvania",6312
42412004,"Census Tract 4120.04, Allegheny County, Pennsylvania",4302
42413100,"Census Tract 4131, Allegheny County, Pennsylvania",6998
42413201,"Census Tract 4132.01, Allegheny County, Pennsylvania",3826
42413202,"Census Tract 4132.02, Allegheny County, Pennsylvania",2860
42413300,"Census Tract 4133, Allegheny County, Pennsylvania",4876
42413400,"Census Tract 4134, Allegheny County, Pennsylvania",4517
42413500,"Census Tract 4135, Allegheny County, Pennsylvania",6621
42414101,"Census Tract 4141.01, Allegheny County, Pennsylvania",5499
42414102,"Census Tract 4141.02, Allegheny County, Pennsylvania",7044
42414200,"Census Tract 4142, Allegheny County, Pennsylvania",5936
42415001,"Census Tract 4150.01, Allegheny County, Pennsylvania",4650
42415002,"Census Tract 4150.02, Allegheny County, Pennsylvania",2604
42416000,"Census Tract 4160, Allegheny County, Pennsylvania",1540
42417100,"Census Tract 4171, Allegheny County, Pennsylvania",2166
42417200,"Census Tract 4172, Allegheny County, Pennsylvania",1234
42418000,"Census Tract 4180, Allegheny County, Pennsylvania",1672
42419000,"Census Tract 4190, Allegheny County, Pennsylvania",3133
42420000,"Census Tract 4200, Allegheny County, Pennsylvania",1454
42421100,"Census Tract 4211, Allegheny County, Pennsylvania",4969
42421200,"Census Tract 4212, Allegheny County, Pennsylvania",4315
42422000,"Census Tract 4220, Allegheny County, Pennsylvania",5343
42423000,"Census Tract 4230, Allegheny County, Pennsylvania",2916
42424000,"Census Tract 4240, Allegheny County, Pennsylvania",3187
42425000,"Census Tract 4250, Allegheny County, Pennsylvania",3437
42426300,"Census Tract 4263, Allegheny County, Pennsylvania",5982
42426400,"Census Tract 4264, Allegheny County, Pennsylvania",4435
42426700,"Census Tract 4267, Allegheny County, Pennsylvania",2303
42426800,"Census Tract 4268, Allegheny County, Pennsylvania",5150
42427000,"Census Tract 4270, Allegheny County, Pennsylvania",3376
42427100,"Census Tract 4271, Allegheny County, Pennsylvania",5340
42427200,"Census Tract 4272, Allegheny County, Pennsylvania",4922
