parcel_address,stop_name,distance
4600 RIDGE AVE,Ridge Av & Wissahickon Transfer Center,0.00
4221 N BROAD ST,Roosevelt Blvd & Broad St - FS,0.00
4718 N 5TH ST,Roosevelt Blvd & 5th St,0.00
5133 E ROOSEVELT BLVD,Roosevelt Blvd & Pratt St,0.00
2801 COTTMAN AVE,Roosevelt Blvd & Cottman Av - FS,0.00
8131 E ROOSEVELT BLVD,Roosevelt Blvd & Holme Av,0.00
8900 E ROOSEVELT BLVD,Roosevelt Blvd & Woodward St,0.00
11681 E ROOSEVELT BLVD,Comly Rd & Roosevelt Blvd - MBFS,0.00
10381 DECATUR RD,Decatur Rd & Drummond Rd - MBNS,0.00
13000 TOWNSEND RD,Townsend Rd & McNulty Rd - MBNS 2,0.00
11630 CAROLINE RD,Caroline Rd & Comly Rd - MBFS,0.00
11681 E ROOSEVELT BLVD,Comly Rd & Caroline Rd,0.00
12004 E ROOSEVELT BLVD,Roosevelt Blvd & Byberry Rd - FS,0.00
12002 E ROOSEVELT BLVD,Roosevelt Blvd & Comly Rd,0.00
8130 E ROOSEVELT BLVD,Roosevelt Blvd & Solly Av - FS,0.00
7300 E ROOSEVELT BLVD,Roosevelt Blvd & Cottman Av,0.00
5116 E ROOSEVELT BLVD,Roosevelt Blvd & Pratt St - FS,0.00
4450 E ROOSEVELT BLVD,Roosevelt Blvd & Tower Blvd - FS,0.00
461 W ROOSEVELT BLVD,Roosevelt Blvd & 5th St,0.00
4900 RIDGE AVE,Wissahickon Transportation Center - onsite,0.00
3900 PULASKI AVE,Pulaski Av & Pike St,0.00
2600 N 17TH ST,17th St & Huntingdon St,0.00
1701-33 W GIRARD AVE,17th St & Girard Av,0.00
1701-07 SPRING GARDEN ST,17th St & Spring Garden St,0.00
1701 MARKET ST,17th St & Market St,0.00
1701 PINE ST,17th St & Pine St,0.00
1701-09 WASHINGTON AVE,17th St & Washington Av,0.00
1701 SNYDER AVE,17th St & Snyder Av,0.00
1934 JOHNSTON ST,19th St & Moyamensing Av,0.00
2810 S 20TH ST,20th St & Johnston St ,0.00
1934 JOHNSTON ST,20th St & Johnston St,0.00
2101 S 16TH ST,16th St & Snyder Av,0.00
1520-30 WASHINGTON AVE,16th St & Washington Av,0.00
1538 PINE ST,16th St & Pine St ,0.00
1532-34 W GIRARD AVE,16th St & Girard Av,0.00
1607 W HUNTINGDON ST,Huntingdon St & 16th St - FS,0.00
1630 W LEHIGH AVE,17th St & Lehigh Av,0.00
1844 W HUNTING PARK AVE,Hunting Park Av & Pulaski Av,0.00
3200 KENSINGTON AVE,Kensington Av & Allegheny Av,0.00
2300-04 N FRONT ST,Front St & Dauphin St,0.00
